sku_id,title,description,availability,condition,price,link,image_link,brand,video_link,additional_image_link,age_group,color,gender,item_group_id,google_product_category,material,pattern,product_type,sale_price,sale_price_effective_date,shipping,shipping_weight,gtin,mpn,size,tax,ios_url,ios_app_store_id,ios_app_name,iPhone_url,iPhone_app_store_id,iPhone_app_name,iPad_url,iPad_app_store_id,iPad_app_name,android_url,android_package,android_app_name,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4
noir,The Noir,"Matte black Italian acetate sunglasses with dark smoke CR-39 lenses, UV400 Category 4 maximum glare protection, natural gemstone accents, and braided copper chain temples with a luxurious gold-tone finish.",in stock,new,3000 EGP,https://sunnys.community/product-detail.html?p=noir,https://sunnys.community/brand_assets/brand%20assets%202/20DC2642-C5AC-4FC7-A06C-637AE1E41B63.jpeg,Sunny's,,https://sunnys.community/brand_assets/brand%20assets%202/0657C550-9A3B-4107-AE70-88C8EE590015.png,adult,Black,unisex,,Apparel & Accessories > Clothing Accessories > Sunglasses,acetate,,Apparel & Accessories > Sunglasses,2000 EGP,,,,,,,,,,,,,,,,,,,,,,,,
rose,The Citrine,"Blush pink acetate sunglasses with rose gradient lenses, UV400 Category 3 protection, natural gemstone accents, and braided copper chain temples with a luxurious gold-tone finish.",in stock,new,2800 EGP,https://sunnys.community/product-detail.html?p=rose,https://sunnys.community/brand_assets/brand%20assets%202/AC8B2426-38D5-4750-9537-F7AAA0655CF9.jpeg,Sunny's,,https://sunnys.community/brand_assets/brand%20assets%202/530BABA6-D93E-42F2-8955-544D3C1BE712.png,adult,Rose,unisex,,Apparel & Accessories > Clothing Accessories > Sunglasses,acetate,,Apparel & Accessories > Sunglasses,1800 EGP,,,,,,,,,,,,,,,,,,,,,,,,
citrine,The Champagne,"Amber-tinted acetate sunglasses with amber gradient CR-39 anti-reflective lenses, UV400 Category 3 protection, natural gemstone accents, and braided copper chain temples with a luxurious gold-tone finish.",in stock,new,2800 EGP,https://sunnys.community/product-detail.html?p=citrine,https://sunnys.community/brand_assets/brand%20assets%202/DDCA0B31-EFD6-4E36-A832-EBBFF14AF74A.png,Sunny's,,https://sunnys.community/brand_assets/brand%20assets%202/90C4A8D8-AB03-4AEE-B66E-A4C93A1B5E6E.png,adult,Amber,unisex,,Apparel & Accessories > Clothing Accessories > Sunglasses,acetate,,Apparel & Accessories > Sunglasses,1800 EGP,,,,,,,,,,,,,,,,,,,,,,,,
aurelia,The Ruby,"Polished gold hand-finished acetate sunglasses with warm amber CR-39 UV400 lenses, Category 3 protection, natural gemstone accents, and braided copper chain temples with a luxurious gold-tone finish.",in stock,new,3200 EGP,https://sunnys.community/product-detail.html?p=aurelia,https://sunnys.community/brand_assets/brand%20assets%202/1E5D59D1-C541-4C32-B169-B6C037499F40.png,Sunny's,,https://sunnys.community/brand_assets/brand%20assets%202/E1A284CB-62E4-466E-B2C5-79050DF9554E.png,adult,Gold,unisex,,Apparel & Accessories > Clothing Accessories > Sunglasses,acetate,,Apparel & Accessories > Sunglasses,2200 EGP,,,,,,,,,,,,,,,,,,,,,,,,
solene,The Maldives,"Ivory acetate sunglasses with brushed gold temple detail, soft brown gradient CR-39 lenses, UV400 Category 3 protection, natural gemstone accents, and braided copper chain temples.",in stock,new,3000 EGP,https://sunnys.community/product-detail.html?p=solene,https://sunnys.community/brand_assets/brand%20assets%202/C50452E7-BB21-4DAB-BBF5-2AC38DA0FF09.png,Sunny's,,https://sunnys.community/brand_assets/brand%20assets%202/F7D8666D-B57B-4A8D-813D-10B746BCB3F7.png,adult,Ivory,unisex,,Apparel & Accessories > Clothing Accessories > Sunglasses,acetate,,Apparel & Accessories > Sunglasses,2000 EGP,,,,,,,,,,,,,,,,,,,,,,,,
celeste,The Opaline,"Pearl white lightweight Italian acetate sunglasses with grey gradient anti-reflective CR-39 lenses, UV400 Category 3 protection, natural gemstone accents, and braided copper chain temples.",in stock,new,3200 EGP,https://sunnys.community/product-detail.html?p=celeste,https://sunnys.community/brand_assets/brand%20assets%202/8C2831C2-A8E1-43CE-B1C8-97F110DEA8DC.jpeg,Sunny's,,https://sunnys.community/brand_assets/brand%20assets%202/01070F7C-5529-44BA-98C5-EC565A30E07A.png,adult,White,unisex,,Apparel & Accessories > Clothing Accessories > Sunglasses,acetate,,Apparel & Accessories > Sunglasses,2200 EGP,,,,,,,,,,,,,,,,,,,,,,,,
verona,The Honey Quartz,"Deep tortoise acetate sunglasses with gold inlay, brown polarized CR-39 lenses, UV400 Category 3 protection, natural gemstone accents, and braided copper chain temples with a luxurious gold-tone finish.",in stock,new,2800 EGP,https://sunnys.community/product-detail.html?p=verona,https://sunnys.community/brand_assets/brand%20assets%202/8D1FBDA8-7C41-479C-B5A5-68518C8C9474.png,Sunny's,,https://sunnys.community/brand_assets/brand%20assets%202/C40AF091-BC10-47E2-AFF7-BB34D08208FA.png,adult,Tortoise,unisex,,Apparel & Accessories > Clothing Accessories > Sunglasses,acetate,,Apparel & Accessories > Sunglasses,1800 EGP,,,,,,,,,,,,,,,,,,,,,,,,
riviera,The Golden Aura,"Translucent sand resort-ready acetate sunglasses with blue mirror polarized CR-39 lenses, UV400 Category 3 protection, natural gemstone accents, and braided copper chain temples with a luxurious gold-tone finish.",in stock,new,3200 EGP,https://sunnys.community/product-detail.html?p=riviera,https://sunnys.community/brand_assets/brand%20assets%202/525E93BD-D8BB-405D-B5DA-F24D7D86158B.jpeg,Sunny's,,https://sunnys.community/brand_assets/brand%20assets%202/F489181E-B43B-4088-9D32-023B592DAB01.png,adult,Sand,unisex,,Apparel & Accessories > Clothing Accessories > Sunglasses,acetate,,Apparel & Accessories > Sunglasses,2200 EGP,,,,,,,,,,,,,,,,,,,,,,,,
siena,The Eclipse,"Terracotta acetate sunglasses with gold-tone hardware, warm copper gradient CR-39 lenses, UV400 Category 3 protection, natural gemstone accents, and braided copper chain temples.",in stock,new,2800 EGP,https://sunnys.community/product-detail.html?p=siena,https://sunnys.community/brand_assets/brand%20assets%202/6599B5D7-1468-46B9-B5E6-6178775530B0.png,Sunny's,,https://sunnys.community/brand_assets/brand%20assets%202/19C9BD28-199D-4165-AB84-703580536AE9.png,adult,Terracotta,unisex,,Apparel & Accessories > Clothing Accessories > Sunglasses,acetate,,Apparel & Accessories > Sunglasses,1800 EGP,,,,,,,,,,,,,,,,,,,,,,,,
lumiere,The Obsidian Noir,"Crystal clear luminous ultra-light acetate sunglasses with light gold tint UV400 CR-39 lenses, Category 2 soft light filtration, natural gemstone accents, and braided copper chain temples.",in stock,new,3000 EGP,https://sunnys.community/product-detail.html?p=lumiere,https://sunnys.community/brand_assets/brand%20assets%202/F8D0426E-A7B2-499B-B07E-81BC8ABD46FA.jpeg,Sunny's,,https://sunnys.community/brand_assets/brand%20assets%202/51D0502D-194A-47D6-AA26-5F855C2EFCAA.png,adult,Clear,unisex,,Apparel & Accessories > Clothing Accessories > Sunglasses,acetate,,Apparel & Accessories > Sunglasses,2000 EGP,,,,,,,,,,,,,,,,,,,,,,,,
