id,title,description,availability,condition,price,sale_price,link,image_link,additional_image_link,brand,google_product_category
sunnys-product-11,The Sienna,"Geometric pilot frame in brown tortoiseshell with gold metal detailing. Warm amber brown PC Anti-UV lens, Category 3 UV protection. Available with Natural Citrine or Natural Pearl stone accent. Natural gemstone accents featuring warm golden tones and unique organic textures. Braided copper chain temples with luxurious gold-tone finish — designed for both comfort and elegance.",in stock,new,3200.00 EGP,2200.00 EGP,https://sunnys.community/product-detail.html?p=sunnys-product-11,https://sunnys.community/brand_assets/brand%20assets%205/E6F47E09-9835-4662-ABE9-C03BA25753FE.png,"https://sunnys.community/brand_assets/brand%20assets%205/2A92E64C-F2D4-4411-A8FD-B5F4BFF08655.jpeg,https://sunnys.community/brand_assets/brand%20assets%205/FE66DBA9-08FD-4F41-B0F8-6E21B1022B74.png,https://sunnys.community/brand_assets/brand%20assets%205/7285C4AD-A4CF-413F-878B-CBE5CA3D0A73.png",Sunny's Eyewear,Apparel & Accessories > Clothing Accessories > Sunglasses
sunnys-product-12,The Ambré,"Rounded-square silhouette in translucent teal green with gold metal detailing. Warm amber brown gradient PC Anti-UV lens, Category 3 UV protection. Natural gemstone accents featuring warm golden tones and unique organic textures. Braided copper chain temples with luxurious gold-tone finish.",in stock,new,3000.00 EGP,2000.00 EGP,https://sunnys.community/product-detail.html?p=sunnys-product-12,https://sunnys.community/brand_assets/ba4/2B73842E-BE64-4961-8308-1598094EECDE.png,https://sunnys.community/brand_assets/ba4/560313B6-E50D-4333-9233-197D54034C83.png,Sunny's Eyewear,Apparel & Accessories > Clothing Accessories > Sunglasses
sunnys-product-13,The Verdant,"Lightweight square frame in translucent olive green. Olive green PC Anti-UV lens, Category 3 UV protection. Natural gemstone accents featuring warm golden tones and unique organic textures. Braided copper chain temples with luxurious gold-tone finish.",in stock,new,2800.00 EGP,1800.00 EGP,https://sunnys.community/product-detail.html?p=sunnys-product-13,https://sunnys.community/brand_assets/brand%20assets%205/CD22AC64-5A89-4A0F-82F9-0CC6C6F969A3.png,https://sunnys.community/brand_assets/brand%20assets%205/15FD2A0B-435B-4B49-A004-D08CB8CA25E5.png,Sunny's Eyewear,Apparel & Accessories > Clothing Accessories > Sunglasses
sunnys-product-14,The Lavande,"Rounded-square silhouette in transparent crystal with gold metal detailing. Smoky mauve gradient PC Anti-UV lens, Category 3 UV protection. Natural gemstone accents featuring warm golden tones and unique organic textures. Braided copper chain temples with luxurious gold-tone finish.",in stock,new,3000.00 EGP,2000.00 EGP,https://sunnys.community/product-detail.html?p=sunnys-product-14,https://sunnys.community/brand_assets/ba4/B971C461-B582-4FD5-BA0D-4E1C98A2F2EA.png,https://sunnys.community/brand_assets/ba4/AB12C5A2-171F-4D41-BC74-1051BFFA0016.png,Sunny's Eyewear,Apparel & Accessories > Clothing Accessories > Sunglasses
sunnys-product-15,The Azurea,"Geometric pilot frame in translucent deep teal blue. Light blue gradient PC Anti-UV lens, Category 3 UV protection. Natural gemstone accents featuring warm golden tones and unique organic textures. Braided copper chain temples with luxurious gold-tone finish.",in stock,new,3000.00 EGP,2000.00 EGP,https://sunnys.community/product-detail.html?p=sunnys-product-15,https://sunnys.community/brand_assets/brand%20assets%205/574EEF5B-E25E-4F72-865A-51E0ECC3C3CA.png,https://sunnys.community/brand_assets/brand%20assets%205/8D77E8FB-20A4-4F53-B5C7-E76E05941430.png,Sunny's Eyewear,Apparel & Accessories > Clothing Accessories > Sunglasses
sunnys-product-16,The Aviara,"Lightweight classic aviator in gold metal with pilot silhouette. Amber brown gradient PC Anti-UV lens, Category 3 UV protection. Natural gemstone accents featuring warm golden tones and unique organic textures. Braided copper chain temples with luxurious gold-tone finish.",in stock,new,3200.00 EGP,2200.00 EGP,https://sunnys.community/product-detail.html?p=sunnys-product-16,https://sunnys.community/brand_assets/brand%20assets%205/4A97DB95-67A9-479C-9E62-E58D2A08FBBC.png,https://sunnys.community/brand_assets/brand%20assets%205/4C6C9FC4-8EE4-4292-9DCE-7259182E3FE2.png,Sunny's Eyewear,Apparel & Accessories > Clothing Accessories > Sunglasses
sunnys-product-17,The Lunelle,"Lightweight vintage oval frame in translucent smoky grey with soft rounded silhouette. Smoky grey gradient PC Anti-UV lens, Category 3 UV protection. Natural gemstone accents featuring warm golden tones and unique organic textures. Braided copper chain temples with luxurious gold-tone finish.",in stock,new,2800.00 EGP,1800.00 EGP,https://sunnys.community/product-detail.html?p=sunnys-product-17,https://sunnys.community/brand_assets/brand%20assets%205/DCAEBE5D-1F0B-4454-A379-907BC4FA353C.jpeg,https://sunnys.community/brand_assets/brand%20assets%205/IMG_1683.png,Sunny's Eyewear,Apparel & Accessories > Clothing Accessories > Sunglasses
sunnys-product-18,The Mocha Noir,"Lightweight vintage pilot frame with black front and brown back. Smoky grey gradient PC Anti-UV lens, Category 3 UV protection. Natural gemstone accents featuring warm golden tones and unique organic textures. Braided copper chain temples with luxurious gold-tone finish.",in stock,new,3000.00 EGP,2000.00 EGP,https://sunnys.community/product-detail.html?p=sunnys-product-18,https://sunnys.community/brand_assets/brand%20assets%205/E96F51DF-D269-4AFB-8B23-DBD77C64F952.png,"https://sunnys.community/brand_assets/brand%20assets%205/Picsart_26-09-07_12-54-43-058.jpg,https://sunnys.community/brand_assets/brand%20assets%205/Picsart_26-09-07_12-56-26-093.jpg",Sunny's Eyewear,Apparel & Accessories > Clothing Accessories > Sunglasses
sunnys-product-19,The Olive Aura,"Vintage aviator frame in sand gold. Olive green PC Anti-UV lens, Category 3 UV protection. Natural gemstone accents featuring warm golden tones and unique organic textures. Braided copper chain temples with luxurious gold-tone finish.",in stock,new,3200.00 EGP,2200.00 EGP,https://sunnys.community/product-detail.html?p=sunnys-product-19,https://sunnys.community/brand_assets/brand%20assets%205/938ACCA7-2FB5-46E3-8FC4-56B3208EE8F2.jpeg,https://sunnys.community/brand_assets/brand%20assets%205/IMG_1948.jpeg,Sunny's Eyewear,Apparel & Accessories > Clothing Accessories > Sunglasses
sunnys-product-20,The Hazel,"Lightweight vintage cat-eye frame in translucent warm brown with sculpted silhouette and gold detailing. Smoky brown PC Anti-UV lens, Category 3 UV protection. Natural gemstone accents featuring warm golden tones and unique organic textures. Braided copper chain temples with luxurious gold-tone finish.",in stock,new,2800.00 EGP,1800.00 EGP,https://sunnys.community/product-detail.html?p=sunnys-product-20,https://sunnys.community/brand_assets/brand%20assets%205/C874F117-E201-458B-9701-CF1E365A30E5.png,https://sunnys.community/brand_assets/brand%20assets%205/3F107D5F-52DA-4171-8AE2-B6A860B99CFF.png,Sunny's Eyewear,Apparel & Accessories > Clothing Accessories > Sunglasses
